StudentNumber,Suruna Value,Hurni Level,Lal Count,Volta,Ratios,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104,
1000530,nulp,full,96,2 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000744,nulp,full,93,2 star,1.16739216,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001010,nulp,high,85,5 star,1.16739216,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,10.0,NG,NG,NG,
1001465,nulp,full,71,1 star,1.16506436,NG,10.0,7.0,8.0,NG,NG,NG,8.0,10.0,8.0,NG,NG,NG,10.0,8.0,8.0,NG,9.0,9.0,NG,7.0,NG,NG,9.0,7.0,8.0,10.0,NG,NG,7.0,
1001702,nulp,full,65,5 star,1.16506436,NG,9.0,7.0,8.0,NG,NG,NG,8.0,10.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,9.0,NG,8.0,NG,NG,9.0,8.0,9.0,9.0,NG,NG,8.0,
1001873,nulp,full,92,5 star,1.16506436,NG,10.0,8.0,8.0,NG,NG,NG,7.0,10.0,9.0,NG,NG,NG,8.0,9.0,8.0,NG,9.0,9.0,NG,8.0,NG,NG,8.0,7.0,8.0,9.0,NG,NG,8.0,
1002761,doot,high,69,2 star,1.16446086,9.0,10.0,7.0,8.0,8.0,7.0,9.0,7.0,10.0,9.0,NG,7.0,10.0,9.0,8.0,9.0,NG,8.0,10.0,NG,9.0,10.0,7.0,8.0,7.0,8.0,10.0,7.0,9.0,7.0,
1001377,doot,high,89,2 star,1.16189597,NG,9.0,8.0,8.0,NG,NG,NG,9.0,8.0,10.0,NG,NG,NG,7.0,9.0,9.0,NG,7.0,8.0,NG,7.0,NG,NG,9.0,9.0,8.0,7.0,NG,NG,8.0,
1002807,doot,high,89,2 star,1.16189597,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,NG,9.0,8.0,8.0,8.0,9.0,NG,7.0,8.0,NG,8.0,9.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,
1002232,nulp,full,65,1 star,1.15933108,9.0,9.0,8.0,8.0,8.0,7.0,9.0,8.0,10.0,9.0,NG,7.0,9.0,9.0,8.0,8.0,NG,7.0,9.0,NG,8.0,10.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,
1002466,doot,high,94,4 star,1.15933108,9.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,9.0,NG,8.0,9.0,9.0,9.0,9.0,NG,8.0,9.0,NG,8.0,9.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,7.0,
1000409,doot,high,77,4 star,1.15691706,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,7.0,10.0,NG,NG,NG,
1001608,nulp,full,70,1 star,1.15691706,NG,10.0,7.0,8.0,NG,NG,NG,8.0,10.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,9.0,NG,8.0,NG,NG,9.0,7.0,8.0,10.0,NG,NG,7.0,
1001878,doot,high,77,4 star,1.15691706,NG,8.0,8.0,7.0,NG,NG,NG,9.0,8.0,9.0,NG,NG,NG,9.0,9.0,9.0,NG,6.0,9.0,NG,8.0,NG,NG,8.0,8.0,8.0,9.0,NG,NG,8.0,
1001297,doot,high,59,4 star,1.15676618,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,6.0,NG,NG,8.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1002379,doot,high,75,5 star,1.15676618,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,NG,8.0,9.0,8.0,8.0,10.0,NG,8.0,8.0,NG,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,9.0,
1002644,doot,high,59,4 star,1.15676618,9.0,9.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,NG,8.0,8.0,8.0,9.0,8.0,NG,8.0,9.0,NG,9.0,9.0,8.0,9.0,8.0,9.0,10.0,7.0,8.0,8.0,
1002714,doot,high,75,5 star,1.15676618,8.0,9.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,NG,8.0,8.0,8.0,10.0,8.0,NG,8.0,8.0,NG,8.0,9.0,7.0,9.0,9.0,8.0,8.0,7.0,9.0,7.0,
1000963,doot,full,98,2 star,1.15284341,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1001378,doot,full,98,2 star,1.15284341,NG,10.0,6.0,7.0,NG,NG,NG,7.0,9.0,9.0,NG,NG,NG,10.0,8.0,8.0,NG,9.0,10.0,NG,9.0,NG,NG,8.0,8.0,9.0,10.0,NG,NG,7.0,
1000661,nulp,full,87,4 star,1.15012764,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,8.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,9.0,10.0,NG,NG,NG,
1001930,nulp,full,87,4 star,1.15012764,NG,9.0,7.0,8.0,NG,NG,NG,9.0,9.0,8.0,NG,NG,NG,8.0,9.0,7.0,NG,7.0,9.0,NG,7.0,NG,NG,9.0,7.0,8.0,8.0,NG,NG,7.0,
1001970,nulp,full,87,4 star,1.15012764,NG,10.0,6.0,9.0,NG,NG,NG,8.0,10.0,7.0,NG,NG,NG,9.0,9.0,8.0,NG,9.0,9.0,NG,8.0,NG,NG,9.0,7.0,9.0,10.0,NG,NG,7.0,
1002383,doot,high,61,5 star,1.14907151,9.0,10.0,6.0,8.0,7.0,7.0,7.0,8.0,10.0,9.0,NG,7.0,9.0,9.0,8.0,8.0,NG,8.0,10.0,NG,9.0,9.0,8.0,8.0,9.0,8.0,9.0,7.0,10.0,7.0,
1002476,doot,high,78,3 star,1.14907151,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,NG,8.0,8.0,9.0,9.0,8.0,NG,8.0,9.0,NG,7.0,10.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0,7.0,
1001312,doot,high,71,3 star,1.14876976,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,10.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001398,doot,high,70,3 star,1.14876976,NG,9.0,8.0,8.0,NG,NG,NG,9.0,7.0,10.0,NG,NG,NG,8.0,9.0,9.0,NG,7.0,9.0,NG,9.0,NG,NG,8.0,7.0,8.0,8.0,NG,NG,8.0,
1001444,doot,high,69,3 star,1.14876976,NG,10.0,8.0,8.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,8.0,10.0,7.0,NG,7.0,10.0,NG,7.0,NG,NG,9.0,8.0,8.0,9.0,NG,NG,7.0,
1001448,nulp,full,63,3 star,1.14876976,NG,9.0,9.0,8.0,NG,NG,NG,9.0,8.0,10.0,NG,NG,NG,8.0,9.0,9.0,NG,7.0,7.0,NG,8.0,NG,NG,9.0,8.0,8.0,8.0,NG,NG,7.0,
1001460,doot,high,71,4 star,1.14876976,NG,10.0,8.0,9.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,8.0,10.0,8.0,NG,8.0,8.0,NG,7.0,NG,NG,9.0,7.0,9.0,9.0,NG,NG,6.0,
1001715,nulp,full,100,4 star,1.14876976,NG,10.0,7.0,8.0,NG,NG,NG,7.0,10.0,9.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,8.0,NG,8.0,NG,NG,8.0,7.0,9.0,10.0,NG,NG,7.0,
1001719,doot,high,97,3 star,1.14876976,NG,10.0,7.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,NG,NG,8.0,8.0,8.0,NG,8.0,9.0,NG,9.0,NG,NG,8.0,7.0,9.0,10.0,NG,NG,7.0,
1001794,nulp,full,96,4 star,1.14876976,NG,10.0,7.0,9.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,8.0,9.0,8.0,NG,7.0,8.0,NG,7.0,NG,NG,9.0,8.0,9.0,9.0,NG,NG,7.0,
1001915,nulp,full,62,4 star,1.14876976,NG,10.0,7.0,9.0,NG,NG,NG,8.0,10.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,7.0,10.0,NG,8.0,NG,NG,7.0,7.0,8.0,10.0,NG,NG,7.0,
1001939,doot,high,60,1 star,1.14876976,NG,9.0,9.0,7.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,8.0,8.0,9.0,NG,7.0,9.0,NG,8.0,NG,NG,9.0,8.0,8.0,8.0,NG,NG,8.0,
1001959,doot,high,71,3 star,1.14876976,NG,10.0,7.0,8.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,10.0,NG,8.0,NG,NG,7.0,8.0,7.0,9.0,NG,NG,8.0,
1001962,doot,high,77,2 star,1.14876976,NG,9.0,9.0,9.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,7.0,9.0,10.0,NG,7.0,7.0,NG,9.0,NG,NG,9.0,8.0,8.0,7.0,NG,NG,8.0,
1001980,nulp,full,93,4 star,1.14876976,NG,9.0,7.0,7.0,NG,NG,NG,7.0,10.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,9.0,9.0,NG,9.0,NG,NG,8.0,7.0,8.0,10.0,NG,NG,8.0,
1002095,doot,high,100,4 star,1.14876976,NG,10.0,6.0,9.0,NG,NG,NG,9.0,10.0,9.0,NG,NG,NG,8.0,8.0,8.0,NG,8.0,9.0,NG,7.0,NG,NG,9.0,7.0,9.0,8.0,NG,NG,7.0,
1002129,nulp,full,90,4 star,1.14876976,NG,10.0,8.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,NG,NG,7.0,10.0,7.0,NG,8.0,8.0,NG,8.0,NG,NG,8.0,8.0,8.0,9.0,NG,NG,7.0,
1000055,doot,full,94,2 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000204,doot,full,84,4 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000349,doot,high,62,4 star,1.14760586,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1000490,nulp,full,74,1 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000626,doot,medium,70,2 star,1.14760586,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000672,doot,medium,98,3 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000722,doot,medium,74,5 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000731,nulp,full,68,1 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000858,doot,high,65,2 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1000940,nulp,full,94,3 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000964,doot,medium,86,5 star,1.14760586,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001009,doot,high,65,4 star,1.14760586,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001011,nulp,full,65,3 star,1.14760586,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001109,doot,medium,73,1 star,1.14760586,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001212,doot,high,99,5 star,1.14698753,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1001981,doot,high,99,5 star,1.14698753,NG,9.0,8.0,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,7.0,9.0,8.0,NG,7.0,9.0,NG,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,7.0,
1001791,doot,high,81,2 star,1.14650662,NG,9.0,8.0,7.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,7.0,9.0,9.0,NG,7.0,8.0,NG,8.0,NG,NG,9.0,8.0,8.0,9.0,NG,NG,7.0,
1002585,doot,high,81,2 star,1.14650662,9.0,10.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,10.0,NG,9.0,10.0,8.0,9.0,8.0,NG,6.0,10.0,NG,7.0,10.0,8.0,8.0,8.0,9.0,9.0,6.0,10.0,6.0,
1002628,nulp,full,67,2 star,1.14394173,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,NG,9.0,8.0,9.0,9.0,9.0,NG,8.0,7.0,NG,8.0,8.0,9.0,9.0,8.0,8.0,7.0,8.0,8.0,7.0,
1002765,doot,high,84,5 star,1.14394173,9.0,8.0,7.0,8.0,7.0,7.0,10.0,8.0,9.0,8.0,NG,8.0,9.0,9.0,8.0,9.0,NG,7.0,10.0,NG,9.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,
1002167,doot,medium,63,5 star,1.14265928,NG,10.0,6.0,9.0,NG,NG,NG,NG,10.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,10.0,NG,9.0,NG,NG,7.0,6.0,8.0,9.0,NG,NG,7.0,
1000247,doot,high,85,2 star,1.14137683,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002388,doot,high,85,2 star,1.14137683,9.0,10.0,6.0,8.0,7.0,7.0,8.0,8.0,10.0,8.0,NG,8.0,10.0,9.0,8.0,9.0,NG,8.0,10.0,NG,8.0,10.0,7.0,8.0,7.0,8.0,10.0,8.0,8.0,6.0,
1001620,nulp,full,100,3 star,1.14062245,NG,10.0,7.0,7.0,NG,NG,NG,7.0,9.0,8.0,NG,NG,NG,10.0,8.0,8.0,NG,7.0,9.0,NG,8.0,NG,NG,8.0,8.0,8.0,10.0,NG,NG,8.0,
1001921,doot,high,73,2 star,1.14062245,NG,9.0,7.0,8.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,8.0,9.0,9.0,NG,7.0,8.0,NG,9.0,NG,NG,10.0,8.0,8.0,8.0,NG,NG,7.0,
1001942,doot,high,97,4 star,1.14062245,NG,8.0,7.0,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,8.0,9.0,NG,8.0,9.0,NG,8.0,NG,NG,8.0,7.0,8.0,10.0,NG,NG,7.0,
1002392,doot,high,72,2 star,1.13999574,NG,9.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,NG,8.0,9.0,8.0,8.0,9.0,NG,8.0,9.0,NG,9.0,8.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,
1000977,nulp,full,90,3 star,1.13881194,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001690,doot,high,70,2 star,1.13881194,NG,9.0,8.0,9.0,NG,NG,NG,9.0,8.0,10.0,NG,NG,NG,9.0,9.0,8.0,NG,8.0,8.0,NG,9.0,NG,NG,10.0,7.0,7.0,7.0,NG,NG,8.0,
1002309,doot,high,70,2 star,1.13881194,8.0,10.0,7.0,8.0,7.0,7.0,9.0,7.0,10.0,9.0,NG,7.0,8.0,8.0,8.0,8.0,NG,8.0,10.0,NG,9.0,10.0,7.0,8.0,7.0,9.0,10.0,7.0,9.0,7.0,
1002317,nulp,full,96,3 star,1.13881194,8.0,9.0,7.0,9.0,7.0,8.0,8.0,7.0,10.0,9.0,NG,7.0,10.0,9.0,7.0,8.0,NG,8.0,10.0,NG,10.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,
1002401,nulp,full,90,3 star,1.13881194,8.0,9.0,7.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,NG,9.0,8.0,7.0,9.0,7.0,NG,8.0,9.0,NG,8.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,9.0,8.0,
1002825,nulp,full,97,4 star,1.13881194,9.0,10.0,6.0,8.0,7.0,7.0,9.0,8.0,10.0,7.0,NG,7.0,10.0,9.0,9.0,8.0,NG,8.0,10.0,NG,9.0,10.0,6.0,8.0,8.0,8.0,9.0,7.0,8.0,7.0,
1000609,nulp,full,82,3 star,1.13795698,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1001382,nulp,full,82,3 star,1.13795698,NG,8.0,8.0,7.0,NG,NG,NG,8.0,8.0,8.0,NG,NG,NG,9.0,8.0,10.0,NG,8.0,9.0,NG,9.0,NG,NG,7.0,8.0,7.0,8.0,NG,NG,9.0,
1002247,nulp,full,82,3 star,1.13795698,8.0,10.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,NG,8.0,9.0,9.0,8.0,7.0,NG,8.0,9.0,NG,8.0,9.0,7.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,
1000439,doot,medium,96,5 star,1.1377127,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1001238,doot,medium,96,5 star,1.1377127,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001847,nulp,full,84,3 star,1.13400277,NG,9.0,7.0,9.0,NG,NG,NG,8.0,8.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,8.0,8.0,NG,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,7.0,
1001211,doot,high,88,3 star,1.13368216,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1002600,doot,high,88,3 star,1.13368216,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,NG,8.0,7.0,7.0,8.0,9.0,NG,6.0,8.0,NG,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,
1000938,nulp,full,98,1 star,1.13247515,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,
1001395,nulp,full,90,2 star,1.13247515,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,10.0,NG,NG,NG,8.0,9.0,8.0,NG,7.0,8.0,NG,8.0,NG,NG,9.0,8.0,7.0,7.0,NG,NG,8.0,
1001404,doot,high,81,5 star,1.13247515,NG,9.0,8.0,8.0,NG,NG,NG,9.0,7.0,10.0,NG,NG,NG,8.0,9.0,8.0,NG,7.0,8.0,NG,7.0,NG,NG,9.0,8.0,8.0,9.0,NG,NG,7.0,
1001473,nulp,full,84,2 star,1.13247515,NG,10.0,7.0,9.0,NG,NG,NG,9.0,9.0,8.0,NG,NG,NG,9.0,NG,7.0,NG,8.0,8.0,NG,7.0,NG,NG,9.0,8.0,8.0,9.0,NG,NG,7.0,
1001497,nulp,full,98,1 star,1.13247515,NG,9.0,7.0,8.0,NG,NG,NG,9.0,9.0,9.0,NG,NG,NG,9.0,9.0,8.0,NG,8.0,9.0,NG,8.0,NG,NG,8.0,7.0,7.0,9.0,NG,NG,7.0,
1001630,nulp,full,99,1 star,1.13247515,NG,10.0,6.0,7.0,NG,NG,NG,7.0,9.0,9.0,NG,NG,NG,9.0,8.0,8.0,NG,7.0,9.0,NG,8.0,NG,NG,9.0,7.0,9.0,10.0,NG,NG,7.0,
1001660,nulp,full,98,5 star,1.13247515,NG,9.0,8.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,7.0,7.0,NG,9.0,NG,NG,9.0,7.0,7.0,9.0,NG,NG,9.0,
1001907,doot,high,75,1 star,1.13247515,NG,10.0,6.0,8.0,NG,NG,NG,7.0,9.0,8.0,NG,NG,NG,9.0,8.0,9.0,NG,8.0,9.0,NG,8.0,NG,NG,7.0,8.0,8.0,10.0,NG,NG,7.0,
1001917,doot,high,78,2 star,1.13247515,NG,9.0,7.0,8.0,NG,NG,NG,7.0,8.0,10.0,NG,NG,NG,9.0,9.0,8.0,NG,7.0,9.0,NG,8.0,NG,NG,7.0,7.0,9.0,8.0,NG,NG,9.0,
1001950,doot,high,72,3 star,1.13247515,NG,9.0,8.0,8.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,8.0,8.0,9.0,NG,7.0,8.0,NG,9.0,NG,NG,8.0,7.0,8.0,8.0,NG,NG,8.0,
1002151,nulp,full,84,2 star,1.13247515,NG,8.0,8.0,6.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,8.0,9.0,NG,7.0,9.0,NG,9.0,NG,NG,7.0,7.0,7.0,9.0,NG,NG,9.0,
1001086,doot,high,81,3 star,1.13111727,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002645,doot,high,81,3 star,1.13111727,8.0,9.0,7.0,9.0,7.0,7.0,8.0,9.0,8.0,10.0,NG,8.0,7.0,8.0,9.0,8.0,NG,7.0,8.0,NG,9.0,9.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,7.0,
1002267,doot,high,87,1 star,1.12855238,9.0,9.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,9.0,NG,8.0,9.0,8.0,9.0,8.0,NG,8.0,9.0,NG,8.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,
1000067,doot,full,63,5 star,1.12781955,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,6.0,NG,NG,9.0,NG,NG,NG,NG,9.0,8.0,NG,NG,NG,
1000214,doot,medium,93,4 star,1.12781955,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000338,doot,high,76,5 star,1.12781955,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000390,lobi,full,78,1 star,1.12781955,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000396,doot,high,70,5 star,1.12781955,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000407,lobi,full,94,5 star,1.12781955,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000408,doot,high,100,2 star,1.12781955,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000452,nulp,high,64,3 star,1.12781955,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1000535,nulp,medium,84,5 star,1.12781955,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000720,nulp,full,68,5 star,1.12781955,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000933,nulp,medium,61,5 star,1.12781955,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,7.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000949,doot,high,96,5 star,1.12781955,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000970,doot,medium,78,1 star,1.12781955,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
